Key,Page,English,Thai,Armenian,Russian,Arabic,Farsi,Georgian
learnabout.contents.title5,learnabout,Read our FAQ,อ่าน FAQ,Կարդացեք մեր Հաճախակի տրվող հարցերը,,اقرأ FAQ,,
learnabout.contents.subtitle5,learnabout,"All the important stuff including what’s free vs paid, how we secure your data, and how to get the most out of NotifyMe.",สิ่งที่สำคัญทั้งหมดที่คุณควรทราบ ถูกรวบรวมอยู่ในนี้ไว้ทั้งหมด รวมทั้งการใช้งานแบบฟรีและแบบชำระเงิน กสรเก็บรักษาข้อมูลของคุณ และวิธีการใช้งาน  NotifyMe ให้มีประสิทธิภาพสูงสุด,"Բոլոր ամենակարևոր հարցերը՝ ներառյալ այն թե ինչն է անվճար և ինչը վճարովի, ինչպես ենք մենք ապահովում Ձեր տվյալների գաղտնիությունը և թե ինչպես առավել արդյունավետ օգտագործել NotifyMe-ն։",,جميع الأشياء المهمة ، بما في ذلك  دفع مقابل مجاني ، وكيف نؤمن بياناتك ، وكيفية الحصول على أقصى استفادة من NotifyMe.,,
empty.group.desc,other,You don't have any Groups,คุณไม่มีกลุ่มใดๆ,Դուք չունեք Խմբեր,,ليس لديك أي مجموعات,,
empty.group.link,other,Add a Group,เพิ่มกลุ่ม,Ավելացնել Խումբ,,أضف مجموعة,,
groups.header.label,groups,Groups,กลุ่ม,Խմբեր,,مجموعات,,
forgot.title,forgotPassword,Forgot Password,ลืมรหัสผ่าน,Գաղտնաբառի վերականգնում,,هل نسيت كلمة المرور,,
forgot.title?,forgotPassword,Forgot your password?,ลืมรหัสผ่านใช่หรือไม่,Մոռացե՞լ եք Ձեր գաղտնաբառը,,نسيت كلمة المرور؟,,
forgot.introduction,forgotPassword,Enter your email. We’ll send instructions on how to reset your password.,ป้อนที่อยู่อีเมล์ของคุณ ระบบจะทำการจัดส่งวิธีการตั้งรหัสผ่านใหม่ไปยังอีเมล์,Մուտքագրեք ձեր էլ․ փոստը։ Մենք Ձեզ կուղարկենք հրահանգներ՝ Ձեր գաղտնաբառը վերականգնելու համար։,,أدخل بريدك الالكتروني و سوف نرسل إرشادات حول كيفية إعادة تعيين كلمة المرور الخاصة بك.,,
forgot.submitButton.title,forgotPassword,SUBMIT,ส่ง,Հաստատել,,إرسال ,,
forgot.or,forgotPassword,Or,หรือ,Կամ,,أو,,
forgot.dot,forgotPassword,.,.,.,.,.,.,.
forgot.footer,forgotPassword,"If you have any questions, please contact our team at {linkEmail}",หากคุณมีคำถามใดๆ โปรดติดต่อทีมงานของเราที่ {linkEmail},Հարցերի դեպքում խնդրում ենք կապ հաստատել մեր թիմի հետ {linkEmail},,إذا كانت لديك أي أسئلة ، فالرجاء الاتصال بفريقنا على الرابط {linkEmail},,
forgot.signInFirstPart,forgot.dot,Try again? Go back to,ลองอีกครั้ง? กลับไปยังหน้า,Փորձել կրկի՞ն Վերադառնալ,,حاول مجددا؟ ارجع إلى,,
forgot.signInTwoPart,forgotPassword,Sign In,เข้าสู่ระบบ,Մուտք,,تسجيل الدخول,,
translationPreview.title,translationPreview,Preview Notification and Translation,ดูตัวอย่างการแจ้งเตือน และ การแปลภาษา,Նախադիտել Ծանուցումը և Թարգմանությունը,,معاينة الإخطار والترجمة,,
translationPreview.subtitle1,translationPreview,"Based upon your recipient list, {subscriberCount, plural, =0 {no subscriber} one {# subscriber} other {# subscribers}} will receive this notification.","ตามรายชื่อผู้รับของคุณ {subscriberCount, plural, =0 {ไม่มีผู้ติดตาม} one {# ผู้ติดตาม} other {# ผุ้ติดตาม}} จะได้รับการแจ้งเตือนนี้","Ձեր կողմից տրամադրված ստացողների ցուցակից ելնելով,{subscriberCount, plural, =0 {ոչ մի բաժանորդ} one {# բաժանորդ} other {# բաժանորդներ}} կստանա այս ծանուցումը։",,"بناءً على قائمة المستلمين ،
  {subscriberCount، plural، = 0 {غير مشترك} one {# مشترك} other{# المشتركين}} سيتلقى هذا الإشعار.",,
translationPreview.subtitle3,translationPreview,"If you click Send Now without translating here, the notification will still be translated to all languages expected by your subscribers.",หากคุณคลิกส่งทันทีโดยไม่แปลภาษาที่นี่ การแจ้งเตือนจะยังคงถูกแปลเป็นภาษาทั้งหมดที่ผู้ติดตามคุณเลือกรับ,"Եթե Դուք տաք Ուղարկել Հիմա հրահանգը առանց այստեղ թարգմանելու, ծանուցումը այնուամենայնիվ կթարգմանվի Ձեր բաժանորդների համար։",,"إذا قمت بالنقر فوق ""إرسال الآن"" دون الترجمة هنا ، فسيظل المترجم يترجم إلى جميع اللغات التي يتوقعها المشتركون.",,
translationPreview.subtitle3.initialNoti,translationPreview,"If you click Save without translating here, the notification will still be translated to all languages expected by your subscribers.",หากคุณคลิกบันทึกโดยไม่แปลที่นี่ การแจ้งเตือนจะยังคงถูกแปลเป็นภาษาทั้งหมดที่ผู้ติดตามคุณเลือกรับ,"Եթե Դուք տաք Ուղարկել Հիմա հրահանգը առանց այստեղ թարգմանելու, ծանուցումը այնուամենայնիվ կթարգմանվի Ձեր բաժանորդների համար։",,"إذا قمت بالنقر فوق ""حفظ"" دون الترجمة هنا ، فسيظل الإشعار مترجمًا إلى جميع اللغات التي يتوقعها المشتركون.",,
translationPreview.translationSelectLabel,translationPreview,Translate to review,แปลเพื่อตรวจดู,Թարգմանել նախադիտելու համար,,ترجمة للمراجعة,,
translationPreview.sendNowButton,translationPreview,Send Now,ส่งเดี๋ยวนี้,Ուղարկել Հիմա,,ارسل الان,,
translationPreview.backButton,translationPreview,Back to edit,กลับไปเพื่อแก้ไข,Վերադառնալ խմբագրելու,,عودة للتعديل,,
translationPreview.noLanguage,translationPreview,No language found,ไม่พบภาษา,Լեզու չի գտնվել,,لا توجد لغة,,
translationPreview.people,translationPreview,"{subscriberCount, plural, =0 {no subscriber} one {# subscriber} other {# subscribers}}","{subscriberCount, plural, =0 {ไม่มีผู้ติดตาม} one {# ผู้ติดตาม} other {# ผู้ติดตาม}}","{subscriberCount, plural, =0 {բաժանորդ} one {# suբաժանորդ} other {# բաժանորդներ}}",,,,
translationPreview.initialNoti.title,translationPreview,Preview Notification,ดูตัวอย่างการแจ้งเตือน,,,,,
notificationPreview.placeholderTime,notificationPreview,Just now,เมื่อสักครู่,Հենց հիմա,,,,
forgot.contens.subtitle,forgotPassword,Are all mimi had had for went down the wire began in England and Ireland I didn't,Are all mimi had had for went down the wire began in England and Ireland I didn't,Are all mimi had had for went down the wire began in England and Ireland I didn't,,,,
forgot.backToSignIn,forgotPassword,Back to Sign In,กลับไปหน้าเข้าสู่ระบบ,Վերադառնալ Մուտք ,,,,
forgot.contents.header,forgotPassword,Notifications in Any Language,การแจ้งเตือนด้วยภาษาที่หลากหลาย,Ծանուցումներ ցանկացած լեզվով,,,,
forgot.contents.paragraph,forgotPassword,Enter your e-mail address to reset your password.,ป้อนที่อยู่อีเมล์ของคุณเพื่อตั้งรหัสผ่านใหม่,Մուտքագրեք Ձեր էլ․ փոստը՝ Ձեր գաղտնաբառը վերականգնելու համար։,,,,
forgot.textField.placeHolder.email,forgotPassword,Your email address,ที่อยู่อีเมล์ของคุณ,Ձեր էլ․ փոստի հասցեն,,,,
forgot.textField.error.validation.email,forgotPassword,Invalid email address format,รูปแบบที่อยู่อีเมล์ไม่ถูกต้อง,Ոչ վավեր էլ․ փոստի ձևաչափ,,,,
forgot.successMessage,forgotPassword,"Check your email. If you are an existing user, we will immediately send you an email with a link to reset your password.",กรุณาเช็คอีเมล์ของคุณ ถ้าคุณเป็นลูกค้าของเราอยู่แล้ว คุณจะได้รับอีเมล์พร้อมกับลิงก์ในการเปลี่ยนพาสเวิร์ด,"Ստուգեք Ձեր էլ․ փոստը։ Եթե Դուք գործող հաշիվ ունեք, մենք Ձեզ անմիջապես նամակ կուղարկենք գաղտնաբառը վերականգնելու հղումով։ ",,,,
resetPassword.title,resetPassword,Reset your password,ตั้งรหัสผ่านใหม่,Վերականգնել գաղտնաբառը,,,,
resetPassword.text,resetPassword,Please enter your new password.,ป้อนรหัสผ่านใหม่,Խնդրում ենք մուտքագրել նոր գաղտնաբառ,,,,
resetPassword.submitButton.title,resetPassword,Reset My Password,ตั้งรหัสผ่านใหม่,Վերականգնել Իմ Գաղտնաբառը,,,,
resetPassword.backToSignIn,resetPassword,Back to Sign In,กลับไปหน้าเข้าสู่ระบบ,Վերադառնալ Մուտք ,,,,
resetPassword.textField.placeHolder.newPassword,resetPassword,New Password,รหัสผ่านใหม่,Նոր Գաղտնաբառ,,,,
resetPassword.textField.placeHolder.confirmPassword,resetPassword,Confirm New Password,ยืนยันรหัสผ่านใหม่,Հաստատել Նոր Գաղտնաբառը,,,,
resetPassword.textField.error.validation.minLength,resetPassword,Min character length is 6,ความยาวน้อยที่สุด 6 ตัวอักษร,Նվազագույնը 6 նիշ,,,,
resetPassword.textField.error.validation.confirmPassword,resetPassword,Confirm password should be the same as new password,การยืนยันรหัสผ่านควรเหมือนกับรหัสผ่านใหม่,Հաստատված գաղտնաբառը պետք է համընկնի նոր գաղտնաբառի հետ,,,,
resetPassword.contents.header,resetPassword,Reset Your Password,ตั้งรหัสผ่านใหม่,Վերականգնեք Ձեր Գաղտնաբառը,,,,
resetPassword.submitButton.confirm,resetPassword,confirm,ยืนยัน,հաստատել,,,,
resetPassword.contents.subHeader,resetPassword,Notifications in Any Language,การแจ้งเตือนด้วยภาษาที่หลากหลาย,Ծանուցումներ ցանկացած լեզվով,,,,
resetPassword.contents.paragraph,resetPassword,"Our real-time notification delivery platform ensures your audience sees your message at the right time, at the right place and in their language.",ระบบการแจ้งเตือนแบบเรียลไทม์ของเราทำให้คุณมั่นใจได้ว่า ลูกค้าของคุณจะได้รับการแจ้งเตือนได้อย่างถูกที่ถูกเวลา ในภาษาที่พวกเขาสามารถเลือกได้เอง,"Ծանուցումներ բոլոր լեզուներով։ Իրական ժամանակում ուղարկվող ծանուցումների մեր հարթակը երաշխավորում է լսարանի կողմից ծանուցումը ճշգրիտ ժամանակամիջոցում, ճշգրիտ վայրում և իրենց իսկ լեզվով տեսնելը։",,,,
notificationTimeline.card.sendThisMessage,notificationTimeline,send this notification,ส่งการแจ้งเตือนนี้,ուղարկել այս ծանուցումը,,,,
registerForm.title,register,NotifyMe by IYC,NotifyMe by IYC,NotifyMe by IYC,,,,
registerForm.title1,register,Notify,Notify,Notify,,,,
registerForm.title2,register,Me,Me,Me,,,,
registerForm.title3,register,by,by,by,,,,
registerForm.title4,register,IF YOU CAN,IF YOU CAN,IF YOU CAN,,,,
registerForm.subtitle1,register,Sign Up to <b>NotifyMe</b>,สมัครใช้งาน <b>NotifyMe</b>,Գրանցվել <b>NotifyMe</b>,,,,
registerForm.subtitle2,register,Start engaging with your audience more effectively,สื่อสารกับลูกค้าของคุณ อย่างมีประสิทธิภาพมากยิ่งขึ้น,Սկսեք ներգրավել Ձեր լսարանին ավելի արդյունավետ կերպով,,,,
registerForm.accountDetails.title,register,Account details,รายละเอียด บัญชีผู้ใช้,Հաշվի մանրամասներ,,,,
registerForm.placeDetails.title,register,Place details,รายละเอียดสถานที่,Վայրի մանրամասներ,,,,
registerForm.categoryPlaceholder,register,What kind of place are you?,สถานที่ของคุณจัดอยู่ในประเภทใด,Ի՞նչ վայր եք Դուք,,,,
registerForm.categoryInvalid,register,Category is required,ต้องระบุหมวดหมู่,Դասակարգումը պարտադիր է,,,,
registerForm.placeNamePlaceholder,register,Your place's name,ชื่อสถานที่ของคุณ,Ձեր վայրի անվանումը,,,,
registerForm.placeAddressPlaceholder,register,Your place's address,ที่อยู่สถานที่ของคุณ,Ձեր վայրի հասցեն,,,,
registerForm.placePlanPlaceholder,register,Choose your plan,เลือกแผนที่คุณต้องการ,Ընտրեք Ձեր փաթեը,,,,
registerForm.plans.momAndPop,register,Mom & Pop,Mom & Pop,Mom & Pop,,,,
registerForm.plans.SMB,register,SMB,SMB,SMB,,,,
registerForm.plans.largeBusiness,register,Large Business,Large Business,Large Business,,,,
registerForm.placeAddressInvalid,register,Min character length is 4,ความยาวน้อยที่สุด 4 ตัวอักษร,Նվազագույնը 4 նիշ,,,,
registerForm.emailPlaceholder,register,Email address,ที่อยู่อีเมล์ของคุณ,Էլ․ փոստի հասցե,,,,
registerForm.emailInvalid,register,Invalid email address format,รูปแบบที่อยู่อีเมล์ไม่ถูกต้อง,Ոչ վավեր էլ․ փոստի ձևաչափ,,,,
registerForm.phoneNumberPlaceholder,register,Your mobile phone number,หมายเลขโทรศัพท์มือถือของคุณ,Ձեր բջջային հեռախոսահամարը,,,,
registerForm.phoneNumberInvalid,register,You have to type valid phone number,โปรดป้อนหมายเลขโทรศัพท์มือถือที่ถูกต้อง,Դուք պետք է մուտքագրեք վավեր հեռախոսահամար,,,,
registerForm.firstNamePlaceholder,register,First name,ชื่อ,Անուն,,,,
registerForm.lastNamePlaceholder,register,Last name,นามสกุล,Ազգանուն,,,,
registerForm.passwordPlaceholder,register,Create password,สร้างรหัสผ่าน,Ստեղծել գաղտնաբառ,,,,
registerForm.passwordInvalid,register,Password must be at least 6 characters long,รหัสผ่านต้องมีความยาวน้อยที่สุด 6 ตัวอักษร,Գաղտնաբառը պետք է պարունակի առնվազն 6 նիշ,,,,
registerForm.passwordMaxLengthInvalid,register,Password must be less than 40 characters long,รหัสผ่านต้องมีความยาวไม่เกิน 40 ตัวอักษร,Գաղտնաբառը պետք է պարունակի ոչ ավել քան 40 նիշը,,,,
registerForm.confirmPasswordPlaceholder,register,Confirm password,ยืนยันรหัสผ่าน,Հաստատել գաղտնաբառը,,,,
registerForm.confirmPasswordInvalid,register,Confirm password is not matched,รหัสผ่านไม่ตรงกัน,Գաղտնաբառի հաստատումը չի համապատասխանում,,,,
registerForm.pricingInvalid,register,Plan is required,คุณจำเป็นต้องเลือกแผน,Անհրաժեշտ է փաթեթ,,,,
registerForm.submitButton.title,register,Create my account,สร้างบัญชีผู้ใช้,Ստեղծել հաշիվ,,,,
registerForm.acceptTermAndPolicySentence,register,"By creating an account, I agree to the {termOfService} and {privacyPolicy}",โดยการสร้างบัญชี ฉันยอมรับ {termOfService} และ {privacyPolicy},Հաշիվ ստեղծելով ես համաձայնում եմ {termOfService} և {privacyPolicy},,,,
registerForm.termsLink,register,Terms of Service,ข้อกำหนดในการให้บริการ,Ծառայությունների մատուցման պայմաններ,,,,
registerForm.policyLink,register,Privacy Policy,นโยบายความเป็นส่วนตัว,Գաղտնիության քաղաքականություն,,,,
registerForm.or,register,Or,หรือ,կամ,,,,
registerForm.alreadyHaveAccount,register,Have an account already?,คุณมีบัญชีอยู่แล้วใช่หรือไม่? ,Արդեն հաշիվ ունե՞ք,,,,
registerForm.signInButton,register,Sign In,เข้าสู่ระบบ,Մուտք գործել,,,,
registerForm.freeTierTitle,register,Choose Your Plan,เลือกแผนที่คุณต้องการ,Ընտրեք Ձեր փաթեը,,,,
registerForm.monthlyTitle,register,Monthly Plan,แผนรายเดือน,Ամսական Փաթեթ,,,,
registerForm.annualTitle,register,Annual Plan,แผนรายปี,Տարեկան Փաթեթ,,,,
registerForm.freeTierSubtitle,register,with a Free Trial for 60 days ({quantity} notifications),ทดลองใช้งาน ฟรี 60 วัน ({quantity} การแจ้งเตือน),Անվճար փորձարկման միջոցով 60 օր ժամկետով ({quantity} ծանուցումներ),,,,
registerForm.monthlySubtitle,register,"(${price}/mo, {quantity} notifications/mo at ${pricePerNoti} / notification)","(${price}/เดือน, {quantity} การแจ้งเตือน/เดือน เฉลี่ยราคา ${pricePerNoti} / การแจ้งเตือน)","(${price}/ամս․, {quantity} ծանուցում/ամս․ ${pricePerNoti} դիմաց/ ծանուցում)",,,,
registerForm.annualSubtitle,register,"(${price}/yr, {quantity} notifications/yr at ${pricePerNoti} / notification)",(${price}/ปี {quantity} การแจ้งเตือน/ปี เฉลี่ยราคา ${pricePerNoti} / การแจ้งเตือน),"(${price}/տ․, {quantity} ծանուցում/տ․․ ${pricePerNoti} դիմաց/ ծանուցում)",,,,
registerForm.dialog.content,register,"Your email address, {email}, is a \nfree email address. \nWhile we do allow this, \nwe strongly recommend using a corporate or organizational email address.","ที่อยู่อีเมล์ของคุณ {email}, เป็น\nที่อยู่อีเมล์ฟรี\nในขณะที่เราอนุญาตให้ทำเช่นนี้\nเราขอแนะนำอย่างยิ่งให้ใช้ที่อยู่อีเมล์ขององค์กร","Ձեր էլ․ փոստի հասցեն {email}, \nօգտագործված չէ \n։ Թեպետ մենք թույլ ենք տալիս այն օգտագործել, \n այնուամենայնիվ խորհուրդ ենք տալիս օգտագործել կորպորատիվ էլ․ փոստ։",,,,
registerForm.dialog.title,register,Using free email address,ใช้ที่อยู่อีเมลฟรี,Օգտագործել ազատ էլ․ փոստի հասցե,,,,
registerForm.dialog.fixItButton.label,register,Fix it,แก้ไข,Կարգավորել,,,,
registerForm.dialog.registerButton.label,register,Register anyway,ลงทะเบียนต่อไป,Գրանցել ամեն դեպքում,,,,
registerHero.placeList.title,register,Join the list of amazing places using NotifyMe,เข้าร่วมรายการสถานที่ที่น่าทึ่งโดยใช้ NotifyMe,Միանալ հիանալի վայրերի ցանկին օգտագործելով NotifyMe,,,,
registerHero.benefits.bullet5,register,"More effective than SMS, Social Media and Email","มีประสิทธิภาพมากกว่า SMS , สื่อออนไลน์ และ อีเมล์","Ավելի արդյունավետ քան SMS-ը, Սոցիալական Մեդիան կամ Էլեկտրոնային փոստը",,,,
registerHero.featuresAndBenefits.title,register,Features & Benefits,คุณลักษณะเด่น และ ข้อดี,Հնարավորություններ և Առավելություններ,,,,
registerHero.featuresAndBenefits.bullet1,register,Higher Customer Engagement,การมีส่วนร่วมของลูกค้าอยู่ในระดับสูง,Հաճախորդների բարձր ներգրավվածություն,,,,
registerHero.featuresAndBenefits.bullet2,register,Zero Language Barriers,หมดปัญหาเรื่องการสื่อสารที่ใช้ภาษาแตกต่างกัน,Ոչ մի լեզվական խոչընդոտ,,,,
registerHero.featuresAndBenefits.bullet3,register,It's Simple,ใช้งานง่าย,Այն պարզ է,,,,
registerHero.featuresAndBenefits.bullet4,register,Easy on Your Budget,ราคาไม่แพง,Թեթև Ձեր բյուջեի համար,,,,
registerHero.featuresAndBenefits.bullet5,register,Automatic Translation,มีระบบแปลภาษาอัตโนมัติ,Ավտոմատ Թարգմանություն,,,,
registerHero.featuresAndBenefits.bullet6,register,Dynamic Groups,ส่งการแจ้งเตือนได้หลากหลายกลุ่ม,Դինամիկ Խմբեր,,,,
registerHero.featuresAndBenefits.bullet7,register,Spamless,ลดการแจ้งเตือนที่ไม่เกี่ยวข้องกับผู้รับการแจ้งเตือน,Առանց լցոնի,,,,
registerHero.featuresAndBenefits.bullet8,register,Real-time Metrics,วัดผลการแจ้งเตือนแบบเรียลไทม์,Համաժամանակյա Չափումներ,,,,
registerHero.featuresAndBenefits.bullet9,register,Proximity-based Notifications,ทางเลือกการแจ้งเตือนแบบระยะใกล้ด้วยบีคอน,"Ավելի ""մոտ"" Ծանուցումներ",,,,
registerHero.featuresAndBenefits.bullet10,register,Rich Attachments,รูปแบบสื่อในการแจ้งเตือนที่หลากหลาย ,Հարուստ կցումներ,,,,
registerHero.featuresAndBenefits.bullet11,register,"More effective than SMS, Social Media and Email","มีประสิทธิภาพมากกว่า SMS , สื่อออนไลน์ และ อีเมล์","Ավելի արդյունավետ քան SMS-ը, Սոցիալական Մեդիան կամ Էլեկտրոնային փոստը",,,,
notificationTimeline.showScheduledNotification.title,notificationTimeline,View Scheduled Notifications,ดูการส่งการแจ้งเตือนล่วงหน้า,Դիտել Պլանավորված Ծանուցումները,,عرض الإخطارات المجدولة,,
notificationTimeline.hideScheduledNotification.title,notificationTimeline,Hide Scheduled Notifications,ซ่อนการส่งการแจ้งเตือนล่วงหน้า,Թաքցնել Պլանավորված Ծանուցումները,,إخفاء الإخطارات المجدولة,,
notificationTimeline.card.action.unsend,notificationTimeline,Unsend,ยกเลิกการส่ง,Չեղարկել Ուղարկվածը,,تراجع عن الأرسال,,
notificationTimeline.card.action.viewComment,notificationTimeline,"{commentCount, plural, =0 {Comment} one {# comment} other {# comments}}","{commentCount, plural, =0 {แสดงความคิดเห็น} one {# แสดงความคิดเห็น} other {# แสดงความคิดเห็น}}","{commentCount, plural, =0 {Մեկնաբանություն} one {# մեկնաբանություն} other {# մեկնաբանություն}}",,"{commentCount, plural, =0 {تعليق} one {# تعليق} other {# تعليقات}}",,
notificationTimeline.card.action.NoComments,notificationTimeline,Comment,แสดงความคิดเห็น,Մեկնաբանություն,,تعليق,,
notificationTimeline.viewMoreComment,notificationTimeline,View more comments,ดูการแสดงความคิดเห็นเพิ่มเติม,Դիտել ավելին,,عرض المزيد من التعليقات,,
notificationTimeline.card.action.viewMetricDetail,notificationTimeline,View Metric Detail,ดูรายละเอียดผลการแสดงผล,Դիտել Չափումները Մանրամասները,,عرض التفاصيل متري,,
notificationTimeline.card.action.viewInOtherLanguage,notificationTimeline,Other Languages,ภาษาอื่น,Այլ լեզուներ,,لغات اخرى,,
notificationTimeline.card.action.viewMatrics,notificationTimeline,View Metrics,ดูผลการแสดงผล,Դիտել Չափումները,,عرض المقاييس,,
notificationTimeline.card.status.unsent,notificationTimeline,Unsent,ยกเลิกการส่ง,Չուղարկել,,تراجع عن الأرسال,,
notificationTimeline.card.status.canceled,notificationTimeline,Canceled,ยกเลิก,Չեղարկել,,ألغيت,,
notificationTimeline.card.status.canceled.title,notificationTimeline,This event was canceled,อีเว้นท์นี้ถูกยกเลิก,Այս իրադարձությունը չեղարկվել է,,تم إلغاء هذا الحدث,,
notificationTimeline.card.status.ended.title,notificationTimeline,This event has ended,อีเว้นท์นี้สิ้นสุดลงแล้ว,,,,,
notificationTimeline.card.status.deleted,notificationTimeline,Deleted,ลบ,Ջնջված,,,,
notificationTimeline.card.noPosterName,notificationTimeline,Unknown,ไม่ทราบ,Չիմացված,,,,
notificationTimeline.card.comments.title,notificationTimeline,Comments from Team Members,แสดงความคิดเห็นจากสมาชิกทีม,Թիմի անդամների մեկնաբանությունները,,,,
notificationTimeline.card.metric.title,notificationTimeline,"Delivery Metrics for this notification {value, plural, =0 {} one {sent to # Recipient} other {sent to # Recipients}}","ตัวชี้วัดการจัดส่งสำหรับการแจ้งเตือนนี้ {value, plural, =0 {} one {ส่งไปยัง # ผู้รับ} other {ส่งไปยัง # ผู้รับ}}","Այս ծանուցման փոխանցման չափումները {value, plural, =0 {} one {ուղարկվել է # Ստացողի} other {ուղարկվել է #Ստացողների}}",,,,
notificationTimeline.card.metric.total,notificationTimeline,total,รวม,ընդհանուր,,,,
notificationTimeline.card.metric.notificationDelivery.title,notificationTimeline,Delivery Rate,อัตราการจัดส่ง,Փոխանցման տեմպ,,,,
notificationTimeline.card.metric.openRate.title,notificationTimeline,View Rate,อัตราการดู,Դիտելիության տեմպ,,,,
notificationTimeline.card.metric.openSource.title,notificationTimeline,Open Source,ประเภทการเปิด,Բացման աղբյուրը,,,,
notificationTimeline.card.metric.translationRating.title,notificationTimeline,Translation Rating,คะแนนการแปล,Թարգմանության Վարկանիշ,,,,
notificationTimeline.card.metric.translationRating.1.tooltip,notificationTimeline,"{value, plural, one {# recipient} other {# recipients}} rated the translation of this notification this way:{newline}<b>I can't understand anything</b>","{value, plural, one {# ผู้รับ} other {# ผู้รับ}} ให้คะแนนการแปลของการแจ้งเตือนด้วยวิธีนี้:{newline}<b> ฉันไม่เข้าใจอะไรเลย </b>","{value, plural, one {# ստացող} other {# ստացողներ}} այս կերպ են գնահատել այս ծանուցման թարգմանությունը:{newline}<b>Ես ոչինչ չեմ հասկանում</b>",,,,
notificationTimeline.card.metric.translationRating.2.tooltip,notificationTimeline,"{value, plural, one {# recipient} other {# recipients}} rated the translation of this notification this way:{newline}<b>I can't understand most of this</b>","{value, plural, one {# ผู้รับ} other {# ผู้รับ}} ให้คะแนนการแปลของการแจ้งเตือนด้วยวิธีนี้:{newline}<b> ฉันไม่เข้าใจสิ่งนี้เป็นส่วนใหญ่</b>","{value, plural, one {# ստացող} other {# ստացողներ}} այս կերպ են գնահատել այս ծանուցման թարգմանությունը:{newline}<b>Ես չեմ հասկանում մեծ մասը</b>",,,,
notificationTimeline.card.metric.translationRating.3.tooltip,notificationTimeline,"{value, plural, one {# recipient} other {# recipients}} rated the translation of this notification this way:{newline}<b>I can understand enough of this</b>","{value, plural, one {# ผู้รับ} other {# ผู้รับ}} ให้คะแนนการแปลของการแจ้งเตือนด้วยวิธีนี้:{newline}<b> ฉันเข้าใจสิ่งนี้มากพอ</b>","{value, plural, one {# ստացող} other {# ստացողներ}} այս կերպ են գնահատել այս ծանուցման թարգմանությունը:{newline}<b>Ես հասկանում եմ բավականաչափ</b>",,,,
notificationTimeline.card.metric.translationRating.4.tooltip,notificationTimeline,"{value, plural, one {# recipient} other {# recipients}} rated the translation of this notification this way:{newline}<b>I can understand most of this</b>","{value, plural, one {# ผู้รับ} other {# ผู้รับ}} ให้คะแนนการแปลของการแจ้งเตือนด้วยวิธีนี้:{newline}<b> ฉันเข้าใจสิ่งนี้เป็นส่วนใหญ่</b>","{value, plural, one {# ստացող} other {# ստացողներ}} այս կերպ են գնահատել այս ծանուցման թարգմանությունը:{newline}<b>Ես հասկանում եմ մեծ մասը</b>",,,,
notificationTimeline.card.metric.translationRating.5.tooltip,notificationTimeline,"{value, plural, one {# recipient} other {# recipients}} rated the translation of this notification this way:{newline}<b>I can understand everything</b>","{value, plural, one {# ผู้รับ} other {# ผู้รับ}} ให้คะแนนการแปลของการแจ้งเตือนด้วยวิธีนี้:{newline}<b> ฉันเข้าใจสิ่งนี้ที่สุด</b>","{value, plural, one {# ստացող} other {# ստացողներ}} այս կերպ են գնահատել այս ծանուցման թարգմանությունը:{newline}<b>Ես ամեն ինչ հասկանում եմ</b>",,,,
notificationTimeline.card.metric.translationRating.notRate.tooltip,notificationTimeline,"{value, plural, one {# recipient has} other {# recipients have}} not rated the translation for this notification.","{value, plural, one {# ผู้รับ} other {# ผู้รับ}} ไม่ได้ให้คะแนนการแปลภาษาการแจ้งเตือนนี้","{value, plural, one {# ստացողը} other {# ստացողները}} դեռ չեն գնահատել այս թարգմանությունը։",,,,
notificationTimeline.card.metric.userReaction.title,notificationTimeline,User Reaction,การตอบสนองของผู้ใช้,Օգտատերի Արձագանքը,,,,
notificationTimeline.card.metric.media.opened.title,notificationTimeline,Opened,เปืด,Բացված,,,,
notificationTimeline.card.metric.image.label,notificationTimeline,Image,ภาพ,Նկար,,,,
notificationTimeline.card.metric.video.label,notificationTimeline,Video,วีดีโอ,Տեսանյութ,,,,
notificationTimeline.card.metric.pdf.label,notificationTimeline,PDF,PDF,PDF,,,,
notificationTimeline.card.metric.notificationDelivery.delivered.title,notificationTimeline,Delivered,ส่งถึง,Փոխանցված,,,,
notificationTimeline.card.metric.notificationDelivery.delivered.tooltips,notificationTimeline,"This notification successfully reached {value, plural, one {# recipient device} other {# recipient devices}}.","การแจ้งเตือนนี้ประสบความสำเร็จในการถูกเข้าถึง {value, plural, one {# อุปกรณ์ของผู้รับ} other {# อุปกรณ์ของผู้รับ}}.","Այս ծանուցումը հաջողությամբ հասել է {value, plural, one {# ստացողի հեռախոսին} other {# ստացողի հեռախոսներին}}.",,,,
notificationTimeline.card.metric.notificationDelivery.notDelivered.title,notificationTimeline,Not Delivered,ส่งไม่ถึง,Չի փոխանցվել,,,,
notificationTimeline.card.metric.notificationDelivery.notDelivered.tooltips,notificationTimeline,"This notification has not reached {value, plural, one {# recipient device} other {# recipient devices}}.","การแจ้งเตือนนี้ไม่ได้ถูกเข้าถึง {value, plural, one {# อุปกรณ์ของผู้รับ} other {# อุปกรณ์ของผู้รับ}}.","Այս ծանուցումը չի հասել {value, plural, one {# ստացողի հեռախոսին} other {# ստացողի հեռախոսներին}}.",,,,
